[21-Jan-2011 20:57:03] [4d3a477f61097] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)]
[21-Jan-2011 20:57:30] [4d3a479a10b09] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)]
[21-Jan-2011 20:58:16] [4d3a47c83473e] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:58:40] [4d3a47e08bf3d] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:59:44] [4d3a48208ac2a] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [NO COOKIES] [NO REFERER] [USER-AGENT:Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)]
[21-Jan-2011 21:01:24] [4d3a488438077] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:02:42] [4d3a48d224b78] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:03:04] [4d3a48e83bd80] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:03:45] [4d3a49114b945] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:05:36] [4d3a498048b7e] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:07:37] [4d3a49f9003d3] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:09:02] [4d3a4a4eecfd2] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:09:07] [4d3a4a530c660] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 21:10:58] [4d3a4ac243b61] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
